restaurant_id,items_count,prep_complexity,time_of_day,orders_last_10min,external_load,merchant_reliability,rider_distance_km,actual_kpt,complexity_score,rush_factor,merchant_speed_inverse,kitchen_load_index
103,7,1,22,0,4,0.7222949896058495,2.106117056621818,11.10822248355883,7,1.0,1.3844758919699718,3.0384475891969975
180,5,1,11,3,1,0.9095843199292841,3.8135563821019707,2.1270687192783204,5,1.0,1.0994032967474034,3.0099403296747407
93,4,1,11,1,12,0.7814995815750205,3.387884347091973,9.87851105857728,4,1.0,1.2795912161393836,4.127959121613938
15,6,1,15,19,14,0.9529078066278005,3.9151446705781985,21.10911499902068,6,1.0,1.0494194643434098,12.304941946434342
107,2,3,14,15,3,0.6591644545382115,4.190188060394101,15.869975473769742,6,1.5,1.5170720950063463,12.827560814250951
72,1,1,12,2,11,0.8033388384054546,4.6534150973036645,3.3733457547831383,1,1.5,1.2448047476266648,5.136720712144
189,2,3,10,16,0,0.8587862736085234,2.439215293030914,12.183424653023799,6,1.0,1.1644340748462505,8.316443407484625
21,2,1,16,4,0,0.8067393825231703,4.931138252621973,0.5904218847431513,2,1.0,1.239557683266168,2.323955768326617
103,7,2,20,7,5,0.9556907566339948,1.4704736603164372,14.306316728503441,14,1.5,1.0463635784467198,12.156954536767008
122,1,2,14,11,14,0.9958253127316559,3.7146432287629785,14.681635454468616,2,1.5,1.0041921883436489,11.850628828251548
75,1,1,13,11,1,0.6463338633365479,2.903041927882352,4.36923951682922,1,1.5,1.5471880041032249,7.582078200615484
88,5,4,9,0,5,0.6519819616307684,4.176052676081975,17.77577466382359,20,1.0,1.5337847653004881,7.153378476530049
117,5,2,11,0,0,0.6521296454240484,2.645467342728917,6.807291739372076,10,1.0,1.5334374184902273,3.1533437418490227
100,1,3,15,14,10,0.8724708384282109,4.0277238591309406,12.147447830026271,3,1.0,1.1461701136069347,8.614617011360693
104,6,1,14,16,9,0.7490704381983352,4.685759215914551,15.926417008220506,6,1.5,1.3349879383909486,15.200248190758643
152,3,3,9,1,2,0.8933258645063624,3.795324197630393,7.681213245048249,9,1.0,1.1194123440639256,3.611941234406392
131,5,4,3,16,13,0.7621885891547915,3.9924242879824594,30.525349927859608,20,1.0,1.3120112452863182,15.131201124528632
150,3,1,22,19,8,0.8510426885328255,0.8022894406963526,16.17450359743844,3,1.0,1.1750291888694477,10.217502918886945
53,7,2,8,8,1,0.9079432022715574,1.422309480045263,14.218909532008755,14,1.0,1.1013904807020178,7.710139048070202
2,6,3,20,11,7,0.8192863642619682,4.8843668322661715,22.266780847966903,18,1.5,1.2205744457871244,16.98308616686807
88,1,2,19,3,5,0.8158014361800024,3.619341517043275,4.225272891862595,2,1.5,1.2257884770128733,4.383868271551931
158,6,2,8,12,11,0.6352937301142537,3.026520577899521,23.90781706841035,12,1.0,1.5740750342682528,10.757407503426826
38,5,1,20,3,5,0.7643126971637739,2.1513936802840252,7.829540569131973,5,1.5,1.3083650235182787,5.746254753527742
130,2,3,23,6,6,0.818310861289975,0.6997505054311306,9.501599264813823,6,1.0,1.2220294845208488,5.522202948452085
192,7,4,19,13,4,0.784792330266564,2.1611115858386074,28.466732082719968,28,1.5,1.2742224425923456,21.791133366388856
188,1,2,10,8,11,0.9603128000753702,2.7451079298030914,9.141313931539875,2,1.0,1.0413273674176944,6.10413273674177
21,4,1,10,0,10,0.9626122528477957,1.4515677922409904,4.434287432501152,4,1.0,1.038839882872461,3.303883988287246
161,7,1,6,0,3,0.9287669522355047,1.2791155607322464,3.6492935203571513,7,1.0,1.0766963634882145,2.807669636348822
58,3,4,20,19,5,0.750119230149248,2.7878744811088256,18.25886639374883,12,1.5,1.3331214023149818,18.499968210347244
22,6,1,9,3,7,0.8869196606750137,3.1365690603239473,8.303576233117996,6,1.0,1.1274978381231548,4.512749783812316
89,1,2,3,0,3,0.7581153844278439,1.579630634845362,5.719223509746305,2,1.0,1.3190604234403032,1.3319060423440305
49,7,1,4,9,4,0.6930374395903036,3.1432526350529586,12.00626311775182,7,1.0,1.442923488507577,6.644292348850758
59,6,3,4,1,6,0.7371610574203527,4.551529837434328,17.98049215514768,18,1.0,1.3565556535222238,7.135655565352223
170,1,3,10,14,5,0.6283858533142141,2.629279661096092,13.962825217518404,3,1.0,1.5913789190603662,7.659137891906036
188,5,2,8,2,12,0.7327110036018589,4.358255763142316,13.161181099744326,10,1.0,1.3647945712350469,6.336479457123505
15,7,3,15,8,3,0.7842968869044686,4.672721500399933,21.091902854475833,21,1.0,1.2750273738136169,10.22750273738136
190,5,4,8,16,12,0.982192357912332,0.9157731302168857,26.842281812801286,20,1.0,1.0181305036067665,14.901813050360678
190,7,1,21,12,3,0.7253642344878499,0.9311521084555865,13.243101135838389,7,1.5,1.37861773775772,11.456792660663659
175,5,2,3,2,9,0.9609814156822083,2.6421988229942066,11.88981572771558,10,1.0,1.0406028500458482,5.7040602850045845
190,6,4,1,3,3,0.6915433103293989,3.146460999429662,19.404544471251313,24,1.0,1.4460410289034185,9.14460410289034
51,4,1,13,3,0,0.6763875591036997,2.416475590092632,5.944310911839007,4,1.5,1.478442331679087,3.8217663497518632
108,7,4,2,10,4,0.807598182572866,1.9690284668787637,27.231533314970285,28,1.0,1.2382395374072979,13.323823953740732
55,7,2,17,6,7,0.8690045477189623,3.3844735225677014,22.25673861025209,14,1.0,1.1507419640379164,8.115074196403791
64,5,2,20,10,6,0.6177329003209125,0.5093668055746412,16.571426779382772,10,1.5,1.6188226326952952,12.542823394904293
131,1,4,5,10,4,0.6884263460188866,4.856329763886841,9.779401032872864,4,1.0,1.4525882191797546,6.145258821917976
51,7,1,10,9,2,0.7822734666005265,1.5443558968460995,14.313337328070375,7,1.0,1.2783253461805795,6.2278325346180585
135,5,3,20,4,14,0.7324017343932726,4.626944458623532,15.369125286623001,15,1.5,1.3653708791779526,13.554805631876693
21,2,3,17,12,14,0.8850484317393288,0.990566350405277,16.65745944080189,6,1.0,1.1298816699045093,9.512988166990452
73,5,4,11,11,10,0.8044642384165267,1.5713923192005765,25.123977179016162,20,1.0,1.2430633361258638,12.524306333612587
167,6,2,4,9,0,0.6641436422415601,1.5569316548937517,13.309439189531515,12,1.0,1.505698370648986,7.3505698370648975
18,4,1,8,6,12,0.9577861517260362,4.982688068902908,11.33667377364447,4,1.0,1.0440743982337704,6.104407439823378
132,2,1,19,18,6,0.7171622701933438,0.5207024557664799,13.54451953653941,2,1.5,1.3943845647797457,13.70915768471696
89,6,2,17,18,12,0.8924524435857694,3.378371941865731,27.417099225726773,12,1.0,1.1205078849715702,13.312050788497158
60,6,3,18,18,14,0.9119663116421639,4.413589614773837,31.24681431125163,18,1.0,1.0965317328436346,15.509653173284363
14,6,1,2,11,10,0.9852630801024409,3.5252314431113154,15.397452769075063,6,1.0,1.014957345094091,8.301495734509409
9,1,4,8,19,2,0.7994029866096406,2.132302181976249,14.925885658526267,4,1.0,1.2509335300848878,9.32509335300849
90,6,3,3,14,3,0.8463342061857728,4.812392132163207,20.030531320543403,18,1.0,1.1815663276883992,11.718156632768839
53,1,4,16,4,13,0.7339505173918135,4.520843395650685,11.036031250451051,4,1.0,1.3624896724013864,5.536248967240139
130,6,3,16,13,4,0.8712717173648266,2.45279714112283,22.930389917132434,18,1.0,1.147747574114438,11.514774757411445
84,3,2,22,11,12,0.7853533943465278,3.0799782167502356,13.580678398664237,6,1.0,1.2733121257240811,8.727331212572409
92,2,4,22,10,14,0.7750609458897689,4.853836345123583,19.621878057770132,8,1.0,1.2902211178399672,9.329022111783997
111,3,4,1,4,11,0.9421870116464421,4.921521628669115,11.540798669999802,12,1.0,1.0613604174531461,7.5061360417453145
188,6,2,8,15,7,0.6200675373994754,2.524204740730785,25.899281079953667,12,1.0,1.6127275493149305,11.161272754931494
199,2,4,8,17,12,0.9527849711327474,4.3130751266438985,20.61937212748322,8,1.0,1.0495547582064813,11.70495547582065
172,2,3,4,11,6,0.9408279351314228,1.8589110212927136,10.807440706199355,6,1.0,1.0628936096166315,7.506289360961664
8,7,1,14,4,8,0.8025465014247156,2.173157928187991,11.63036348135256,7,1.5,1.2460337167064541,8.13690505750597
175,4,1,14,15,10,0.7960811416822513,1.2416984734560181,16.860145144281862,4,1.5,1.2561533587981175,13.988423003819715
35,3,2,2,11,2,0.7447229472141961,1.4413306674952864,15.00278250090847,6,1.0,1.3427812366205785,6.734278123662058
81,4,3,18,1,13,0.9976695166726938,3.455929860167115,18.269013397991102,12,1.0,1.002335927166622,6.700233592716661
164,2,4,2,5,10,0.6444677331015365,2.798517281031864,10.451398872884113,8,1.0,1.5516680644156455,6.555166806441565
50,1,4,5,3,9,0.8360860942514428,1.5400933728152129,7.287735922385039,4,1.0,1.1960490754188553,4.319604907541886
104,2,1,3,12,0,0.8726726360449668,2.3130932736274366,5.235346031868769,2,1.0,1.1459050721838748,5.514590507218388
132,4,4,23,9,0,0.9737320032867778,2.1793255693865676,17.73684634198279,16,1.0,1.026976618437677,8.502697661843769
2,3,1,12,16,11,0.9120813987427046,4.9431209204090045,18.50584870816268,3,1.5,1.0963933716645142,14.414459005749677
134,6,2,12,13,9,0.8575388811246187,4.3410462674512065,17.551751465944715,12,1.5,1.1661278829579724,16.074919182443697
54,7,4,10,14,12,0.646724926724849,2.245848500227209,35.38014107764583,28,1.0,1.5462524462513145,16.55462524462513
106,7,3,4,7,13,0.7494934067325869,4.612624605032149,24.737283976905484,21,1.0,1.3342345523218082,11.83342345523218
4,7,4,0,17,0,0.6555366570191941,2.04185926232677,32.97780658246739,28,1.0,1.5254677054173038,15.352546770541732
54,6,1,8,2,1,0.9524850929862054,3.5055568073068675,5.414000729794787,6,1.0,1.0498851975360866,2.9049885197536085
191,7,2,16,16,1,0.8998484622254572,4.8499249850695065,21.851931522380355,14,1.0,1.1112982262889612,10.911129822628897
146,3,1,21,6,6,0.9030147147188917,2.256254887948485,6.351845071400198,3,1.5,1.1074016665512474,6.916110249982688
44,6,4,0,12,8,0.8609026071094177,3.5594823429722022,28.44489629200305,24,1.0,1.16157157818074,13.716157157818074
162,7,1,2,15,7,0.8028174147746838,1.8316571497818495,17.282595119279854,7,1.0,1.2456132385726297,9.624561323857263
190,6,1,14,4,14,0.6599884237853989,1.6984054201908858,12.337922813357448,6,1.5,1.5151780909496055,9.527276713642442
14,4,2,20,3,3,0.7318779546820207,3.083704998941984,8.834247163068655,8,1.5,1.3663480278408857,6.504952204176133
95,3,3,22,9,1,0.6547663169907562,4.906690691149482,14.330764209951383,9,1.0,1.5272624355447988,6.65272624355448
48,5,4,9,12,2,0.8899652571409373,2.5391023192407647,26.687264044799747,20,1.0,1.1236393690384672,11.312363936903848
15,1,2,7,9,9,0.664091510408802,4.719366366424613,9.195155420494299,2,1.0,1.5058165694429961,6.1505816569443
190,7,3,11,13,4,0.8808454200686742,4.614635841101427,29.133375425422624,21,1.0,1.1352729743682337,12.413527297436824
40,1,1,21,11,8,0.8769021558383618,1.6419317555524764,8.64161034816912,1,1.5,1.1403780836231958,9.621056712543481
82,6,3,14,0,7,0.7837217915965156,2.3081873318794734,18.07040954137598,18,1.5,1.2759629893190862,10.391394448397863
111,1,1,8,19,12,0.6540914616472209,3.394861153223824,15.90302494054003,1,1.0,1.5288381803389786,10.452883818033898
53,3,1,23,19,11,0.7259203304536147,2.8312064798512626,15.788973618579854,3,1.0,1.377561638720213,10.83775616387202
