restaurant_id,items_count,prep_complexity,time_of_day,orders_last_10min,external_load,merchant_reliability,rider_distance_km,actual_kpt
103,7,1,22,0,4,0.7222949896058495,2.106117056621818,11.10822248355883
180,5,1,11,3,1,0.9095843199292841,3.8135563821019707,2.1270687192783204
93,4,1,11,1,12,0.7814995815750205,3.387884347091973,9.87851105857728
15,6,1,15,19,14,0.9529078066278005,3.9151446705781985,21.10911499902068
107,2,3,14,15,3,0.6591644545382115,4.190188060394101,15.869975473769742
72,1,1,12,2,11,0.8033388384054546,4.6534150973036645,3.3733457547831383
189,2,3,10,16,0,0.8587862736085234,2.439215293030914,12.183424653023799
21,2,1,16,4,0,0.8067393825231703,4.931138252621973,0.5904218847431513
103,7,2,20,7,5,0.9556907566339948,1.4704736603164372,14.306316728503441
122,1,2,14,11,14,0.9958253127316559,3.7146432287629785,14.681635454468616
75,1,1,13,11,1,0.6463338633365479,2.903041927882352,4.36923951682922
88,5,4,9,0,5,0.6519819616307684,4.176052676081975,17.77577466382359
117,5,2,11,0,0,0.6521296454240484,2.645467342728917,6.807291739372076
100,1,3,15,14,10,0.8724708384282109,4.0277238591309406,12.147447830026271
104,6,1,14,16,9,0.7490704381983352,4.685759215914551,15.926417008220506
152,3,3,9,1,2,0.8933258645063624,3.795324197630393,7.681213245048249
131,5,4,3,16,13,0.7621885891547915,3.9924242879824594,30.525349927859608
150,3,1,22,19,8,0.8510426885328255,0.8022894406963526,16.17450359743844
53,7,2,8,8,1,0.9079432022715574,1.422309480045263,14.218909532008755
2,6,3,20,11,7,0.8192863642619682,4.8843668322661715,22.266780847966903
88,1,2,19,3,5,0.8158014361800024,3.619341517043275,4.225272891862595
158,6,2,8,12,11,0.6352937301142537,3.026520577899521,23.90781706841035
38,5,1,20,3,5,0.7643126971637739,2.1513936802840252,7.829540569131973
130,2,3,23,6,6,0.818310861289975,0.6997505054311306,9.501599264813823
192,7,4,19,13,4,0.784792330266564,2.1611115858386074,28.466732082719968
188,1,2,10,8,11,0.9603128000753702,2.7451079298030914,9.141313931539875
21,4,1,10,0,10,0.9626122528477957,1.4515677922409904,4.434287432501152
161,7,1,6,0,3,0.9287669522355047,1.2791155607322464,3.6492935203571513
58,3,4,20,19,5,0.750119230149248,2.7878744811088256,18.25886639374883
22,6,1,9,3,7,0.8869196606750137,3.1365690603239473,8.303576233117996
89,1,2,3,0,3,0.7581153844278439,1.579630634845362,5.719223509746305
49,7,1,4,9,4,0.6930374395903036,3.1432526350529586,12.00626311775182
59,6,3,4,1,6,0.7371610574203527,4.551529837434328,17.98049215514768
170,1,3,10,14,5,0.6283858533142141,2.629279661096092,13.962825217518404
188,5,2,8,2,12,0.7327110036018589,4.358255763142316,13.161181099744326
15,7,3,15,8,3,0.7842968869044686,4.672721500399933,21.091902854475833
190,5,4,8,16,12,0.982192357912332,0.9157731302168857,26.842281812801286
190,7,1,21,12,3,0.7253642344878499,0.9311521084555865,13.243101135838389
175,5,2,3,2,9,0.9609814156822083,2.6421988229942066,11.88981572771558
190,6,4,1,3,3,0.6915433103293989,3.146460999429662,19.404544471251313
51,4,1,13,3,0,0.6763875591036997,2.416475590092632,5.944310911839007
108,7,4,2,10,4,0.807598182572866,1.9690284668787637,27.231533314970285
55,7,2,17,6,7,0.8690045477189623,3.3844735225677014,22.25673861025209
64,5,2,20,10,6,0.6177329003209125,0.5093668055746412,16.571426779382772
131,1,4,5,10,4,0.6884263460188866,4.856329763886841,9.779401032872864
51,7,1,10,9,2,0.7822734666005265,1.5443558968460995,14.313337328070375
135,5,3,20,4,14,0.7324017343932726,4.626944458623532,15.369125286623001
21,2,3,17,12,14,0.8850484317393288,0.990566350405277,16.65745944080189
73,5,4,11,11,10,0.8044642384165267,1.5713923192005765,25.123977179016162
167,6,2,4,9,0,0.6641436422415601,1.5569316548937517,13.309439189531515
18,4,1,8,6,12,0.9577861517260362,4.982688068902908,11.33667377364447
132,2,1,19,18,6,0.7171622701933438,0.5207024557664799,13.54451953653941
89,6,2,17,18,12,0.8924524435857694,3.378371941865731,27.417099225726773
60,6,3,18,18,14,0.9119663116421639,4.413589614773837,31.24681431125163
14,6,1,2,11,10,0.9852630801024409,3.5252314431113154,15.397452769075063
9,1,4,8,19,2,0.7994029866096406,2.132302181976249,14.925885658526267
90,6,3,3,14,3,0.8463342061857728,4.812392132163207,20.030531320543403
53,1,4,16,4,13,0.7339505173918135,4.520843395650685,11.036031250451051
130,6,3,16,13,4,0.8712717173648266,2.45279714112283,22.930389917132434
84,3,2,22,11,12,0.7853533943465278,3.0799782167502356,13.580678398664237
92,2,4,22,10,14,0.7750609458897689,4.853836345123583,19.621878057770132
111,3,4,1,4,11,0.9421870116464421,4.921521628669115,11.540798669999802
188,6,2,8,15,7,0.6200675373994754,2.524204740730785,25.899281079953667
199,2,4,8,17,12,0.9527849711327474,4.3130751266438985,20.61937212748322
172,2,3,4,11,6,0.9408279351314228,1.8589110212927136,10.807440706199355
8,7,1,14,4,8,0.8025465014247156,2.173157928187991,11.63036348135256
175,4,1,14,15,10,0.7960811416822513,1.2416984734560181,16.860145144281862
35,3,2,2,11,2,0.7447229472141961,1.4413306674952864,15.00278250090847
81,4,3,18,1,13,0.9976695166726938,3.455929860167115,18.269013397991102
164,2,4,2,5,10,0.6444677331015365,2.798517281031864,10.451398872884113
50,1,4,5,3,9,0.8360860942514428,1.5400933728152129,7.287735922385039
104,2,1,3,12,0,0.8726726360449668,2.3130932736274366,5.235346031868769
132,4,4,23,9,0,0.9737320032867778,2.1793255693865676,17.73684634198279
2,3,1,12,16,11,0.9120813987427046,4.9431209204090045,18.50584870816268
134,6,2,12,13,9,0.8575388811246187,4.3410462674512065,17.551751465944715
54,7,4,10,14,12,0.646724926724849,2.245848500227209,35.38014107764583
106,7,3,4,7,13,0.7494934067325869,4.612624605032149,24.737283976905484
4,7,4,0,17,0,0.6555366570191941,2.04185926232677,32.97780658246739
54,6,1,8,2,1,0.9524850929862054,3.5055568073068675,5.414000729794787
191,7,2,16,16,1,0.8998484622254572,4.8499249850695065,21.851931522380355
146,3,1,21,6,6,0.9030147147188917,2.256254887948485,6.351845071400198
44,6,4,0,12,8,0.8609026071094177,3.5594823429722022,28.44489629200305
162,7,1,2,15,7,0.8028174147746838,1.8316571497818495,17.282595119279854
190,6,1,14,4,14,0.6599884237853989,1.6984054201908858,12.337922813357448
14,4,2,20,3,3,0.7318779546820207,3.083704998941984,8.834247163068655
95,3,3,22,9,1,0.6547663169907562,4.906690691149482,14.330764209951383
48,5,4,9,12,2,0.8899652571409373,2.5391023192407647,26.687264044799747
15,1,2,7,9,9,0.664091510408802,4.719366366424613,9.195155420494299
190,7,3,11,13,4,0.8808454200686742,4.614635841101427,29.133375425422624
40,1,1,21,11,8,0.8769021558383618,1.6419317555524764,8.64161034816912
82,6,3,14,0,7,0.7837217915965156,2.3081873318794734,18.07040954137598
111,1,1,8,19,12,0.6540914616472209,3.394861153223824,15.90302494054003
53,3,1,23,19,11,0.7259203304536147,2.8312064798512626,15.788973618579854
24,3,2,9,6,13,0.7280372436302206,0.9318133843842844,15.889377532910087
154,2,1,19,8,2,0.8801540532573173,4.971641135572212,5.541392318408255
188,7,2,8,7,8,0.6454972077654897,3.88694300545076,20.677002251299278
124,2,3,14,12,9,0.9316274584864364,2.469623172011203,16.140773175150617
41,1,3,22,13,2,0.9044029160743656,3.2817584734983107,10.213422450479225
157,5,1,20,11,9,0.6745227672697095,0.8940776776980355,14.853266415977028
15,2,2,20,7,11,0.8876657527115557,2.728857441603245,13.30195558117451
45,2,1,0,17,13,0.8674052725871286,4.688745871178695,18.41808574847571
65,3,2,1,15,7,0.8992483200443705,4.534704311247403,14.692443832815641
89,5,2,18,10,0,0.6755714221794777,2.018213804674155,13.49472601933145
71,6,2,13,15,3,0.6630361288625874,2.891155387196025,21.775158516544863
9,1,3,7,13,3,0.6945935943691017,3.6382258583944105,10.401393705851529
88,2,2,5,2,5,0.7463486812595903,2.0300417010855742,4.419117304928757
129,5,3,11,1,11,0.9174659924143205,0.7919564814227231,15.022301121675888
136,7,2,14,2,11,0.89516957499154,2.7744874552301213,17.807969458177332
63,5,3,13,3,1,0.9701806369114132,3.207360811205014,11.878788456876466
139,1,4,20,4,6,0.6234518236394462,0.5262872005467961,8.077566431831077
81,5,3,0,9,4,0.6046225124056742,0.9300891809233878,17.614627195448314
136,5,3,10,19,9,0.8796555318803196,1.4328078961736852,28.488580251642148
163,5,1,2,1,5,0.7117149983176663,2.0662352914592037,5.977002831871664
163,7,2,18,11,10,0.733631558213527,2.9347305027376116,24.189075416039515
33,2,4,17,4,13,0.8187208103658049,1.8222931344184938,16.44564654596456
123,1,1,19,4,5,0.6409652492507194,1.7428271648292668,4.241779663569726
5,7,2,1,0,13,0.8570777666192199,4.412072047158868,18.652532321735123
41,5,4,6,3,13,0.73005897849246,1.1527278836064183,22.16434381283302
